id,x,y
vs_928,127.871938900000004,36.970203720000001
vs_929,127.871954700000003,36.970292960000002
vs_930,127.871966499999999,36.970382549999997
vs_931,127.871974899999998,36.970463199999998
vs_932,127.871969199999995,36.970552589999997
vs_933,127.871909299999999,36.970627329999999
vs_934,127.871901899999997,36.970633599999999
vs_935,127.871848600000007,36.970675100000001
vs_940,127.871674100000007,36.970882170000003
vs_941,127.871576599999997,36.970926929999997
vs_942,127.871499999999997,36.970962100000001
vs_943,127.871400899999998,36.971004510000000
vs_944,127.871381099999994,36.971013399999997
vs_945,127.871285700000001,36.971061030000001
vs_946,127.871190400000003,36.971108670000000
vs_947,127.871099799999996,36.971162000000000
vs_948,127.871068600000001,36.971244370000001
vs_949,127.871081599999997,36.971333319999999
vs_950,127.871104000000003,36.971421630000002
vs_951,127.871126399999994,36.971509949999998
vs_952,127.871148899999994,36.971598270000001
vs_953,127.871171300000000,36.971686589999997
vs_958,127.871553199999994,36.971779849999997
vs_959,127.871664600000003,36.971768200000000
vs_961,127.871887200000003,36.971743830000001
vs_962,127.871998500000004,36.971731380000001
vs_963,127.872109699999996,36.971718930000002
vs_964,127.872220999999996,36.971706480000002
vs_965,127.872332299999997,36.971694040000003
vs_966,127.872440299999994,36.971669839999997
vs_967,127.872545799999997,36.971639140000001
vs_968,127.872643900000000,36.971597539999998
vs_969,127.872724500000004,36.971535029999998
vs_970,127.872764700000005,36.971453300000000
vs_971,127.872746199999995,36.971364469999997
vs_972,127.872727299999994,36.971275630000001
vs_973,127.872708299999999,36.971186779999996
vs_974,127.872689399999999,36.971097940000000
vs_975,127.872670400000004,36.971009100000003
vs_976,127.872652299999999,36.970920139999997
vs_977,127.872637699999999,36.970830810000002
vs_978,127.872628899999995,36.970741080000003
vs_979,127.872658900000005,36.970654940000003
vs_980,127.872706300000004,36.970573240000000
vs_983,127.872856299999995,36.970331109999996
vs_984,127.872911200000004,36.970252549999998
vs_985,127.872969100000006,36.970175290000000
vs_986,127.873026899999999,36.970098030000003
vs_987,127.873100899999997,36.970030819999998
vs_988,127.873176599999994,36.969969599999999
vs_989,127.873250900000002,36.969902019999999
vs_990,127.873318299999994,36.969830360000003
vs_991,127.873365600000000,36.969749040000004
vs_992,127.873383200000006,36.969661060000000
vs_993,127.873374799999993,36.969603999999997
vs_1010,127.871010100000007,36.971926300000000
vs_1011,127.870940000000004,36.971996720000000
vs_1012,127.870869600000006,36.972066980000001
vs_1013,127.870798100000002,36.972136409999997
vs_1014,127.870708600000000,36.972188969999998
vs_1015,127.870603000000003,36.972219099999997
vs_1016,127.870492499999997,36.972233529999997
vs_1017,127.870380900000001,36.972226929999998
vs_1018,127.870276099999998,36.972196220000001
vs_1021,127.868299600000000,36.969846400000002
vs_1022,127.868343899999999,36.969929229999998
vs_1023,127.868388199999998,36.970012050000001
vs_1024,127.868432499999997,36.970094879999998
vs_1025,127.868476799999996,36.970177700000001
vs_1026,127.868521099999995,36.970260529999997
vs_1027,127.868565399999994,36.970343360000001
vs_1028,127.868609800000002,36.970426179999997
vs_1029,127.868654100000001,36.970509010000001
vs_1030,127.868698400000000,36.970591829999996
vs_1031,127.868742699999999,36.970674660000000
vs_1032,127.868786999999998,36.970757480000003
vs_1033,127.868836299999998,36.970838299999997
vs_1034,127.868893000000000,36.970916099999997
vs_1035,127.868956999999995,36.970990159999999
vs_1036,127.869021000000004,36.971064220000002
vs_1037,127.869084999999998,36.971138279999998
vs_1038,127.869151099999996,36.971211179999997
vs_1039,127.869219000000001,36.971282979999998
vs_1040,127.869286900000006,36.971354779999999
vs_1041,127.869354799999996,36.971426579999999
vs_1042,127.869422700000001,36.971498380000000
vs_1043,127.869490600000006,36.971570190000001
vs_1044,127.869558499999997,36.971641990000002
vs_1045,127.869626400000001,36.971713790000003
vs_1046,127.869696300000001,36.971784350000000
vs_1047,127.869766600000005,36.971854630000003
vs_1048,127.869836899999996,36.971924909999998
vs_1054,127.870256900000001,36.972347870000000
vs_1055,127.870326100000000,36.972418890000000
vs_1057,127.870413099999993,36.972508200000000
vs_1058,127.870496200000005,36.972568870000003
vs_1059,127.870579199999995,36.972629550000001
vs_1060,127.870662300000006,36.972690219999997
vs_1061,127.870745400000004,36.972750890000000
vs_1063,127.870851700000003,36.972821320000001
vs_1073,127.871252299999995,36.973057500000003
vs_1076,127.871544499999999,36.973192210000001
vs_1079,127.871835200000007,36.973328989999999
vs_1080,127.871930899999995,36.973376119999998
vs_1081,127.872026700000006,36.973423250000003
vs_1087,127.871028899999999,36.972795550000001
vs_1088,127.870939800000002,36.972740870000003
vs_1089,127.870868900000005,36.972672070000002
vs_1090,127.870832199999995,36.972587359999999
vs_1091,127.870827399999996,36.972497859999997
vs_1092,127.870863099999994,36.972412650000003
vs_1093,127.870906500000004,36.972329510000002
vs_1094,127.870949899999999,36.972246360000000
vs_1095,127.870993200000001,36.972163209999998
vs_1096,127.871037500000000,36.972080470000002
vs_1097,127.871108100000001,36.972010380000000
vs_1106,127.870904899999999,36.972332600000001
vs_1122,127.872473700000000,36.973471859999997
vs_1123,127.872375599999998,36.973428009999999
vs_1124,127.872277400000002,36.973384170000003
vs_1125,127.872179299999999,36.973340319999998
vs_1126,127.872081100000003,36.973296470000001
vs_1127,127.871983000000000,36.973252619999997
vs_1128,127.871884800000004,36.973208790000001
vs_1131,127.871590400000002,36.973077230000001
vs_1158,127.872729600000000,36.973483190000003
vs_1170,127.871467199999998,36.968432300000003
vs_1171,127.871355699999995,36.968443020000002
vs_1172,127.871244099999998,36.968453730000000
vs_1173,127.871132599999996,36.968464449999999
vs_1174,127.871021099999993,36.968475169999998
vs_1175,127.870909499999996,36.968485880000003
vs_1176,127.870797999999994,36.968496600000002
vs_1177,127.870686500000005,36.968507310000000
vs_1178,127.870574899999994,36.968518029999998
vs_1180,127.871867899999998,36.968891499999998
