metric_name,value,timestamp,request,request_id,rejection_reason,rejection_time,vehicle_id,assignment_time,request_origin,request_destination,origin_stop,destination_stop,estimated_pickup_time,estimated_dropoff_time,waiting_time_mins,in_vehicle_time_mins,passenger_id,origin,stop_id,destination
request.received,1.0,2024-10-24 19:44:06,"{'_version': '1.0', 'assignment_id': None, 'constraints': None, 'destination': {'id': '8c02b726-4e0c-4f2b-847a-22ae3951f5fa', 'lat': 37.20822964057087, 'lon': 126.83043683350589}, 'estimated_price': None, 'id': 'R557', 'origin': {'id': '93cc6e23-470a-4681-bb74-b6aa212b9dce', 'lat': 37.203171838673526, 'lon': 126.8433863163049}, 'passenger_id': 'P557', 'request_time': '2024-10-24T19:44:06', 'status': 'pending', 'type': 'immediate'}",,,,,,,,,,,,,,,,,
request.assigned,1.0,2024-10-24 19:44:09,,R557,,,vehicle_7,2024-10-24T19:44:09,"{'id': 'f4eef797-7cc8-40d9-be19-879390c36e58', 'lat': 37.20379645, 'lon': 126.8407795}","{'id': '11799ca9-69c2-44f3-a901-d609743cb1f1', 'lat': 37.20892959, 'lon': 126.8308099}","{'id': 'f4eef797-7cc8-40d9-be19-879390c36e58', 'lat': 37.20379645, 'lon': 126.8407795}","{'id': '11799ca9-69c2-44f3-a901-d609743cb1f1', 'lat': 37.20892959, 'lon': 126.8308099}",2024-10-24T19:47:18.291198,2024-10-24T19:53:50.442106,1.1380519833333334,9.790701766877099,,,,
request.received,1.0,2024-10-24 19:44:24,"{'_version': '1.0', 'assignment_id': None, 'constraints': None, 'destination': {'id': '242da0ee-199d-4792-b440-aea9c475e4a1', 'lat': 37.20720862344151, 'lon': 126.83566603152396}, 'estimated_price': None, 'id': 'R558', 'origin': {'id': 'e16b8b5c-fd22-47fa-b13e-1cdad1a39112', 'lat': 37.20617304304085, 'lon': 126.84064038571786}, 'passenger_id': 'P558', 'request_time': '2024-10-24T19:44:24', 'status': 'pending', 'type': 'immediate'}",,,,,,,,,,,,,,,,,
request.assigned,1.0,2024-10-24 19:44:27,,R558,,,vehicle_7,2024-10-24T19:44:27,"{'id': 'f4eef797-7cc8-40d9-be19-879390c36e58', 'lat': 37.20379645, 'lon': 126.8407795}","{'id': '8c44a28b-1967-4402-ac5c-11e00c950fe4', 'lat': 37.20639593, 'lon': 126.8374391}","{'id': 'f4eef797-7cc8-40d9-be19-879390c36e58', 'lat': 37.20379645, 'lon': 126.8407795}","{'id': '8c44a28b-1967-4402-ac5c-11e00c950fe4', 'lat': 37.20639593, 'lon': 126.8374391}",2024-10-24T19:47:36.291198,2024-10-24T19:48:38.754703,0.37291451666666664,1.0410584166666665,,,,
request.received,1.0,2024-10-24 19:44:29,"{'_version': '1.0', 'assignment_id': None, 'constraints': None, 'destination': {'id': 'b2da0183-72ad-4d21-8c0e-0dbd8354c93d', 'lat': 37.20533191811259, 'lon': 126.84027138289852}, 'estimated_price': None, 'id': 'R559', 'origin': {'id': '821888b2-17f8-4cb9-9d92-0af487551740', 'lat': 37.2106657195332, 'lon': 126.81853378387962}, 'passenger_id': 'P559', 'request_time': '2024-10-24T19:44:29', 'status': 'pending', 'type': 'immediate'}",,,,,,,,,,,,,,,,,
request.assigned,1.0,2024-10-24 19:44:32,,R559,,,vehicle_1,2024-10-24T19:44:32,"{'id': '5df48ffa-1acf-4cd3-944a-01f37ce404dd', 'lat': 37.21037107, 'lon': 126.8194725}","{'id': 'f4eef797-7cc8-40d9-be19-879390c36e58', 'lat': 37.20379645, 'lon': 126.8407795}","{'id': '5df48ffa-1acf-4cd3-944a-01f37ce404dd', 'lat': 37.21037107, 'lon': 126.8194725}","{'id': 'f4eef797-7cc8-40d9-be19-879390c36e58', 'lat': 37.20379645, 'lon': 126.8407795}",2024-10-24T19:44:54.922472,2024-10-24T19:50:20.814404,0.0437929,5.9135734041208075,,,,
vehicle.occupied_distance,2965.7393026250897,2024-10-24 19:44:50,,,,,vehicle_8,,,,,,,,,,,,,
vehicle.stops_served,1.0,2024-10-24 19:44:50,,,,,vehicle_8,,,,,,,,,,,,,
passenger.wait_time,639.0,2024-10-24 19:44:51,,R552,,,vehicle_8,,,,,,,,,,P552,,0765351c-1628-44dd-af4e-8bb0447ab058,
passenger.ride_time,940.0,2024-10-24 19:44:51,,,,,vehicle_8,,,,,,,,,,P541,,,
passenger.walk_time_from_destination_stop,48.17755102040817,2024-10-24 19:44:51,,,,,,,,,,"{'id': '345c63a9-2365-4318-bffc-96fec2a28b53', 'lat': 37.21141554, 'lon': 126.8222724}",,,,,P551,,,"{'id': '17a334cd-a8a8-443d-bc48-32f643e22459', 'lat': 37.211866574835305, 'lon': 126.82103625447152}"
passenger.walk_time_to_origin_stop,22.29489795918368,2024-10-24 19:44:56,,R559,,,,,,,"{'id': '5df48ffa-1acf-4cd3-944a-01f37ce404dd', 'lat': 37.21037107, 'lon': 126.8194725}",,,,,,P559,"{'capacity': 10.0, 'capacity_exceeded': False, 'congestion_level': 'low', 'created_at': '2025-03-05T17:32:43.174262', 'current_load': 0.0, 'id': '0765351c-1628-44dd-af4e-8bb0447ab058', 'location': {'id': '5df48ffa-1acf-4cd3-944a-01f37ce404dd', 'lat': 37.21037107, 'lon': 126.8194725}, 'metadata': {'area_id': 'area_3721_12681', 'creation_time': '2024-10-24T07:02:31', 'selection_method': 'coverage_based', 'type': 'origin', 'virtual': True}, 'status': 'active', 'type': 'virtual', 'updated_at': '2025-03-05T17:32:43.174263'}",,
vehicle.empty_distance,199.27419526963075,2024-10-24 19:44:56,,,,,vehicle_1,,,,,,,,,,,,,
vehicle.stops_served,1.0,2024-10-24 19:44:56,,,,,vehicle_1,,,,,,,,,,,,,
passenger.wait_time,1.0,2024-10-24 19:44:57,,R559,,,vehicle_1,,,,,,,,,,P559,,0765351c-1628-44dd-af4e-8bb0447ab058,
vehicle.occupied_distance,1076.726714150594,2024-10-24 19:44:58,,,,,vehicle_4,,,,,,,,,,,,,
vehicle.stops_served,1.0,2024-10-24 19:44:58,,,,,vehicle_4,,,,,,,,,,,,,
request.received,1.0,2024-10-24 19:44:58,"{'_version': '1.0', 'assignment_id': None, 'constraints': None, 'destination': {'id': 'bf7df573-6568-4ab5-a7dd-e56c705f4426', 'lat': 37.2013873573773, 'lon': 126.82325482763616}, 'estimated_price': None, 'id': 'R560', 'origin': {'id': '99c8b6f8-b572-4afe-a883-d47b37a13f6b', 'lat': 37.21201219906499, 'lon': 126.82252997789412}, 'passenger_id': 'P560', 'request_time': '2024-10-24T19:44:58', 'status': 'pending', 'type': 'immediate'}",,,,,,,,,,,,,,,,,
passenger.ride_time,131.0,2024-10-24 19:44:59,,,,,vehicle_4,,,,,,,,,,P556,,,
request.rejected,1.0,2024-10-24 19:45:00,,R560,no_viable_destination_stops,2024-10-24T19:45:00,,,,,,,,,,,,,,
passenger.walk_time_from_destination_stop,25.510204081632654,2024-10-24 19:45:17,,,,,,,,,,"{'id': '5df48ffa-1acf-4cd3-944a-01f37ce404dd', 'lat': 37.21037107, 'lon': 126.8194725}",,,,,P541,,,"{'id': 'bf280677-969d-4eff-9f6f-e9c62c2209c5', 'lat': 37.210498321431075, 'lon': 126.81994391860832}"
passenger.walk_time_from_destination_stop,25.510204081632654,2024-10-24 19:45:25,,,,,,,,,,"{'id': '345c63a9-2365-4318-bffc-96fec2a28b53', 'lat': 37.21141554, 'lon': 126.8222724}",,,,,P556,,,"{'id': 'ea70d69e-fda4-4efd-ac8f-a66f86b08a34', 'lat': 37.21118635133553, 'lon': 126.82241102456337}"
