idx,o,d,hour,o_h3,d_h3,o_x,o_y,d_x,d_y,time,pickup_time,dropoff_time
51,38,21,7,8930e039d07ffff,8930e039d57ffff,126.8232543673569,37.20071300813942,126.81868359287522,37.19548184845838,2024-10-24 07:25:33,2024-10-24 07:25:33,2024-10-24 07:30:33.000000000
52,51,26,7,8930e038e4bffff,8930e039d43ffff,126.82053221659034,37.210327257020765,126.8185983889996,37.19303055771385,2024-10-24 07:25:50,2024-10-24 07:25:50,2024-10-24 07:30:50.000000000
53,37,51,7,8930e039d0bffff,8930e038e4bffff,126.82073311419808,37.19831345546093,126.81973574386149,37.210264274249546,2024-10-24 07:26:20,2024-10-24 07:26:20,2024-10-24 07:31:20.000000000
54,71,50,7,8930e038a0bffff,8930e038e4fffff,126.84132132510555,37.2042140694773,126.82280406640272,37.21096593446707,2024-10-24 07:26:30,2024-10-24 07:26:30,2024-10-24 07:31:30.000000000
55,39,50,7,8930e039d03ffff,8930e038e4fffff,126.82175487328028,37.19884317289625,126.8215538204474,37.21265488184554,2024-10-24 07:26:38,2024-10-24 07:26:38,2024-10-24 07:31:38.000000000
56,70,50,7,8930e038a13ffff,8930e038e4fffff,126.83730022543024,37.208444667212945,126.82353044687947,37.21124969814134,2024-10-24 07:26:49,2024-10-24 07:26:49,2024-10-24 07:33:23.158612869
57,51,56,7,8930e038e4bffff,8930e038acfffff,126.81890091609408,37.21029227247416,126.83590263804656,37.20449891326114,2024-10-24 07:26:58,2024-10-24 07:26:58,2024-10-24 07:33:08.256711550
58,29,39,7,8930e039d33ffff,8930e039d03ffff,126.8271840935316,37.20166247497049,126.82245658099042,37.19995664277517,2024-10-24 07:27:23,2024-10-24 07:27:23,2024-10-24 07:32:23.000000000
59,56,32,7,8930e038acfffff,8930e039d27ffff,126.83336110702058,37.205941454615136,126.83143835771322,37.203029538356,2024-10-24 07:27:40,2024-10-24 07:27:40,2024-10-24 07:32:49.635858592
60,50,60,7,8930e038e4fffff,8930e038a9bffff,126.82145590783958,37.21158003062557,126.8334875320277,37.21224688267239,2024-10-24 07:28:03,2024-10-24 07:28:03,2024-10-24 07:34:34.251809208
61,64,51,7,8930e038a73ffff,8930e038e4bffff,126.8430449193692,37.20431446499332,126.82052433429786,37.21138366121329,2024-10-24 07:29:28,2024-10-24 07:29:28,2024-10-24 07:34:28.000000000
62,48,50,7,8930e038e67ffff,8930e038e4fffff,126.82956024512684,37.21507952565549,126.82261249050671,37.212650059872985,2024-10-24 07:29:37,2024-10-24 07:29:37,2024-10-24 07:34:37.000000000
63,50,26,7,8930e038e4fffff,8930e039d43ffff,126.82351980232764,37.211625479318656,126.81884105712994,37.19235711974037,2024-10-24 07:30:56,2024-10-24 07:30:56,2024-10-24 07:42:55.099400906
64,55,51,7,8930e038ad3ffff,8930e038e4bffff,126.83157301390033,37.20875496006701,126.81879250244498,37.21073590502556,2024-10-24 07:31:16,2024-10-24 07:31:16,2024-10-24 07:36:16.000000000
65,51,39,7,8930e038e4bffff,8930e039d03ffff,126.81875101722072,37.20938748333055,126.82183360808187,37.19976584969492,2024-10-24 07:31:54,2024-10-24 07:31:54,2024-10-24 07:37:11.944381818
66,23,37,7,8930e039d4fffff,8930e039d0bffff,126.82112338888702,37.19112876487696,126.82252125072108,37.19670210192841,2024-10-24 07:32:06,2024-10-24 07:32:06,2024-10-24 07:37:06.000000000
67,56,38,7,8930e038acfffff,8930e039d07ffff,126.83491726738174,37.20674135670303,126.82344175995148,37.20205079350374,2024-10-24 07:32:11,2024-10-24 07:32:11,2024-10-24 07:37:11.000000000
68,51,39,7,8930e038e4bffff,8930e039d03ffff,126.8186999402122,37.21113132736567,126.8225176421642,37.19987231794056,2024-10-24 07:32:36,2024-10-24 07:32:36,2024-10-24 07:39:16.256512470
69,18,51,7,8930e039d73ffff,8930e038e4bffff,126.82339487146028,37.19556639446412,126.81901681588046,37.209981325953535,2024-10-24 07:32:38,2024-10-24 07:32:38,2024-10-24 07:37:38.000000000
70,50,39,7,8930e038e4fffff,8930e039d03ffff,126.82099158637526,37.21187705824842,126.82222877239926,37.19991611152422,2024-10-24 07:32:49,2024-10-24 07:32:49,2024-10-24 07:37:49.000000000
71,51,60,7,8930e038e4bffff,8930e038a9bffff,126.81880561560664,37.21094487289877,126.83263804682304,37.211939288007784,2024-10-24 07:33:04,2024-10-24 07:33:04,2024-10-24 07:38:04.000000000
72,33,59,7,8930e039d23ffff,8930e038ac3ffff,126.8282093353776,37.20090588432938,126.83111327366328,37.206833812777106,2024-10-24 07:33:11,2024-10-24 07:33:11,2024-10-24 07:38:11.000000000
73,39,50,7,8930e039d03ffff,8930e038e4fffff,126.82213520674634,37.19956392745505,126.82198098490812,37.212832246893136,2024-10-24 07:33:31,2024-10-24 07:33:31,2024-10-24 07:38:31.000000000
74,23,50,7,8930e039d4fffff,8930e038e4fffff,126.8201085622848,37.19223893332124,126.82237035043931,37.21188342852415,2024-10-24 07:34:14,2024-10-24 07:34:14,2024-10-24 07:41:49.967716754
75,37,18,7,8930e039d0bffff,8930e039d73ffff,126.82020827611277,37.19668885972585,126.8236399675816,37.19677493773146,2024-10-24 07:34:24,2024-10-24 07:34:24,2024-10-24 07:41:07.814884692
76,70,71,7,8930e038a13ffff,8930e038a0bffff,126.8386751552257,37.20852039626175,126.8410451773136,37.204538936112414,2024-10-24 07:34:31,2024-10-24 07:34:31,2024-10-24 07:39:31.000000000
77,33,21,7,8930e039d23ffff,8930e039d57ffff,126.82985968205718,37.20111680289648,126.8183537139551,37.19637943868525,2024-10-24 07:34:56,2024-10-24 07:34:56,2024-10-24 07:39:56.000000000
78,23,42,7,8930e039d4fffff,8930e039993ffff,126.81988182791608,37.19159428182994,126.831939941853,37.19634595850374,2024-10-24 07:35:32,2024-10-24 07:35:32,2024-10-24 07:40:32.000000000
79,21,33,7,8930e039d57ffff,8930e039d23ffff,126.8192900283808,37.19728782809671,126.82840103973224,37.200658677304936,2024-10-24 07:35:52,2024-10-24 07:35:52,2024-10-24 07:42:49.786230598
80,55,37,7,8930e038ad3ffff,8930e039d0bffff,126.8291328792904,37.20849587808387,126.82177611368586,37.19640113627707,2024-10-24 07:36:53,2024-10-24 07:36:53,2024-10-24 07:46:48.320084756
81,39,51,7,8930e039d03ffff,8930e038e4bffff,126.82119297516132,37.200280804096856,126.81989325451478,37.21023924139621,2024-10-24 07:36:58,2024-10-24 07:36:58,2024-10-24 07:41:58.000000000
82,50,55,7,8930e038e4fffff,8930e038ad3ffff,126.8219405429654,37.212939774469184,126.82939512371222,37.21009510665304,2024-10-24 07:37:00,2024-10-24 07:37:00,2024-10-24 07:42:00.000000000
83,34,50,7,8930e039d17ffff,8930e038e4fffff,126.8209903957858,37.20338991205319,126.82140854625892,37.2106328818543,2024-10-24 07:37:27,2024-10-24 07:37:27,2024-10-24 07:45:13.475452584
84,50,37,7,8930e038e4fffff,8930e039d0bffff,126.82110546717222,37.21168188169097,126.82027777528369,37.19820588823516,2024-10-24 07:38:12,2024-10-24 07:38:12,2024-10-24 07:49:18.903826734
85,70,26,7,8930e038a13ffff,8930e039d43ffff,126.83762768994492,37.20832898463802,126.8195008064142,37.19372727338549,2024-10-24 07:38:29,2024-10-24 07:38:29,2024-10-24 07:43:29.000000000
86,21,60,7,8930e039d57ffff,8930e038a9bffff,126.81834112877924,37.19549440122292,126.83255829682172,37.21257974079345,2024-10-24 07:38:56,2024-10-24 07:38:56,2024-10-24 07:43:56.000000000
87,21,58,7,8930e039d57ffff,8930e038ac7ffff,126.81866338421852,37.19624345367632,126.83405099193968,37.20915319462331,2024-10-24 07:39:01,2024-10-24 07:39:01,2024-10-24 07:44:01.000000000
88,38,72,7,8930e039d07ffff,8930e038367ffff,126.82414994741896,37.201650862189624,126.81214702244678,37.20808420724115,2024-10-24 07:39:15,2024-10-24 07:39:15,2024-10-24 07:44:15.000000000
89,23,38,7,8930e039d4fffff,8930e039d07ffff,126.82055392116035,37.1913474041412,126.82461597967234,37.2023105417019,2024-10-24 07:39:19,2024-10-24 07:39:19,2024-10-24 07:44:24.472777354
90,58,56,7,8930e038ac7ffff,8930e038acfffff,126.83532196325773,37.20913724237165,126.8356464386365,37.20589462865501,2024-10-24 07:39:36,2024-10-24 07:39:36,2024-10-24 07:44:36.000000000
91,54,71,7,8930e038ad7ffff,8930e038a0bffff,126.83193685163884,37.20982861411987,126.83970727124373,37.205160055736286,2024-10-24 07:41:33,2024-10-24 07:41:33,2024-10-24 07:46:33.000000000
92,70,50,7,8930e038a13ffff,8930e038e4fffff,126.83840773730108,37.208156725779055,126.82383975185144,37.21161265752796,2024-10-24 07:41:49,2024-10-24 07:41:49,2024-10-24 07:46:49.781483704
93,38,3,7,8930e039d07ffff,8930e039db7ffff,126.82262595733152,37.20126557336136,126.82355007123418,37.21015069602993,2024-10-24 07:42:28,2024-10-24 07:42:28,2024-10-24 07:47:48.265153888
94,55,50,7,8930e038ad3ffff,8930e038e4fffff,126.830018696734,37.208779147799945,126.82258403347834,37.212174804337586,2024-10-24 07:42:48,2024-10-24 07:42:48,2024-10-24 07:52:54.002801520
95,21,48,7,8930e039d57ffff,8930e038e67ffff,126.8184366454106,37.19641580141869,126.83053220658157,37.21567754330609,2024-10-24 07:43:21,2024-10-24 07:43:21,2024-10-24 07:51:00.444096360
96,71,33,7,8930e038a0bffff,8930e039d23ffff,126.84019899291935,37.203839851511255,126.82845371861254,37.19983095863094,2024-10-24 07:43:24,2024-10-24 07:43:24,2024-10-24 07:48:24.000000000
97,21,38,7,8930e039d57ffff,8930e039d07ffff,126.81778210109616,37.19564174341895,126.8240358030665,37.201795765946954,2024-10-24 07:43:29,2024-10-24 07:43:29,2024-10-24 07:48:29.000000000
