id,access,wait,ivt,egress
U206,0.259887457,-0.26124067,0.166973677,-0.13126998
U207,-0.2135396,0.281864311,0.172819794,0.179999315
U208,-0.27634366,-0.133215601,-0.723716695,-0.227898007
U209,0.201119934,-0.274878238,0.134899642,-0.125751377
U210,-0.168700532,-0.20326459,-0.659677477,-0.183980533
U211,-0.216142356,0.265715512,0.169160842,0.175886154
U212,0.263690937,-0.492047516,0.35484179,-0.055656177
U213,-0.141476809,0.431555861,0.040918029,0.039549828
U214,-0.221975996,0.287214992,0.14722382,0.14822772
U215,0.001567309,0.003323423,0.291402898,-0.290317254
U216,0.004683189,0.018046067,0.272405426,-0.32019035
U217,0.258829755,0.092023088,-0.22592696,0.226856138
U218,0.195480109,-0.288910107,0.13911068,-0.139910467
U219,0.152841364,-0.001301171,0.143284828,0.048534602
U220,-0.130907121,0.02000163,0.133639286,-0.092918627
U221,-0.071418152,-0.204415317,-0.57006948,-0.080207769
U222,0.108146172,0.358143245,-0.026688277,-0.089637429
U223,-0.217501019,-0.139848019,-0.664432584,-0.237857252
U224,0.211825709,-0.273167438,-0.106777112,0.027783545
U225,-0.21361149,-0.222545271,0.245677882,-0.200921047
U226,0.251247358,-0.267552804,0.14082198,-0.112176759
U227,-0.175424936,-0.225547858,0.215148478,-0.183141558
U228,-0.066548698,-0.156752672,-0.166742573,0.094074821
U229,-0.176184656,-0.185199893,0.272589191,-0.448695149
U230,-0.104850389,-0.340040544,0.970976169,-0.959167295
U231,0.149926073,0.342255444,-0.007383382,-0.09374321
U232,-0.180440586,-0.218512853,0.273963406,-0.437620519
U233,0.370066246,-0.486212136,-0.214965899,-0.308611235
U234,0.275357159,-0.265700482,0.168190289,-0.119313429
U235,0.250824125,0.526521232,-0.051544701,-0.105636451
U236,0.367081351,-0.108128151,0.099816724,-0.245726626
U237,-0.214520128,-0.197473266,0.274282959,-0.429444145
U238,0.238752756,-0.281462135,0.144407873,-0.124578398
U239,-0.121761031,0.017920271,0.127476891,-0.085729949
U240,0.14568396,0.310462053,-0.004652434,-0.083632884
